时间,开盘价,最高价,最低价,收盘价,振幅,开收盘价差
2025-03-13 16:30:00,23642.0,23839.0,23212.0,23488.0,627.0,154.0
2025-03-14 16:30:00,23491.0,24145.0,23406.0,24069.0,739.0,578.0
